"Tabela 3419 - Índices de volume e de receita nominal de vendas no comércio varejista ampliado, por tipos de índice e atividades (2014 = 100)"
"Variável - Índice de volume de vendas no comércio varejista ampliado (Número-índice)"
"Brasil e Unidade da Federação","Mês","Atividades x Tipos de índice"
"Brasil e Unidade da Federação","Mês","Combustíveis e lubrificantes","Hipermercados, supermercados, produtos alimentícios, bebidas e fumo","Hipermercados e supermercados","Tecidos, vestuário e calçados","Móveis e eletrodomésticos","Móveis","Eletrodomésticos","Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos","Livros, jornais, revistas e papelaria","Equipamentos e materiais para escritório, informática e comunicação","Outros artigos de uso pessoal e doméstico","Veículos, motocicletas, partes e peças","Material de construção"
"Brasil e Unidade da Federação","Mês","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)"
"Bahia","outubro 2004","88.3","60.2","53.5","49.6","24.0","-","-","35.5","35.6","76.3","18.9","42.1","73.3"
"Bahia","novembro 2004","85.8","56.7","50.7","52.0","28.0","-","-","34.3","37.0","75.5","19.0","45.1","80.6"
"Bahia","dezembro 2004","91.0","77.5","69.4","115.8","47.9","-","-","38.4","54.4","94.6","34.7","53.1","84.4"
"Bahia","janeiro 2005","83.0","57.4","51.9","43.9","28.0","-","-","35.2","53.1","76.3","19.0","46.3","73.0"
"Bahia","fevereiro 2005","60.5","56.1","50.4","47.5","24.3","-","-","32.4","75.6","73.8","17.5","35.3","55.7"
"Bahia","março 2005","67.0","64.6","57.4","48.9","28.5","-","-","38.8","54.2","84.3","21.1","44.2","66.4"
"Bahia","abril 2005","71.8","60.9","53.5","50.6","27.9","-","-","37.8","78.0","98.4","17.6","44.7","62.5"
"Bahia","maio 2005","70.8","61.1","53.8","57.1","31.2","-","-","39.9","63.7","134.2","19.3","44.8","66.4"
"Bahia","junho 2005","69.0","60.5","52.8","81.5","29.7","-","-","38.4","41.0","125.7","20.6","42.7","59.8"
"Bahia","julho 2005","73.0","63.3","55.5","53.6","31.7","-","-","38.9","42.1","97.4","19.8","45.5","62.9"
"Bahia","agosto 2005","77.3","60.5","53.5","55.1","35.2","-","-","41.8","47.7","172.3","21.2","52.4","70.3"
"Bahia","setembro 2005","74.5","59.0","52.3","50.4","31.1","-","-","40.1","43.2","162.9","19.4","45.4","68.3"
"Bahia","outubro 2005","73.8","60.6","54.9","55.9","33.5","-","-","40.6","45.3","126.7","22.5","45.8","66.3"
"Bahia","novembro 2005","72.2","58.9","53.4","60.2","34.3","-","-","39.3","43.9","134.2","22.2","50.0","76.9"
"Bahia","dezembro 2005","76.2","79.4","72.1","132.4","59.0","-","-","44.5","66.8","202.3","39.3","58.9","79.5"
"Bahia","janeiro 2006","71.1","59.7","54.8","47.5","37.6","-","-","38.6","44.5","154.1","22.7","48.9","70.5"
"Bahia","fevereiro 2006","67.3","65.3","62.5","49.7","26.9","-","-","34.4","52.5","130.0","18.6","44.1","62.4"
"Bahia","março 2006","69.7","71.1","66.8","53.2","38.1","-","-","40.6","44.2","143.4","21.2","61.6","70.6"
"Bahia","abril 2006","66.3","73.0","69.5","48.6","32.5","-","-","36.8","63.5","133.6","21.8","45.5","60.8"
"Bahia","maio 2006","69.4","68.2","65.1","56.9","41.0","-","-","40.9","33.1","179.2","21.7","58.1","70.5"
"Bahia","junho 2006","66.5","67.1","63.8","78.4","33.8","-","-","37.9","25.2","176.1","21.6","50.1","62.0"
"Bahia","julho 2006","71.2","71.3","68.5","51.7","35.7","-","-","41.0","30.8","124.3","23.0","60.2","70.5"
"Bahia","agosto 2006","74.3","70.0","67.9","58.4","38.6","-","-","43.3","35.5","160.1","23.9","62.2","73.3"
"Bahia","setembro 2006","70.3","69.9","68.4","52.9","38.6","-","-","41.5","30.2","139.2","21.4","54.2","70.3"
"Bahia","outubro 2006","74.2","69.6","68.1","54.9","38.7","-","-","42.0","28.2","127.7","24.6","56.1","70.9"
"Bahia","novembro 2006","75.1","69.2","67.7","63.6","42.9","-","-","41.2","30.1","133.1","26.0","61.4","73.0"
"Bahia","dezembro 2006","79.4","93.0","92.5","140.2","63.8","-","-","45.8","45.3","195.4","48.0","62.2","73.6"
"Bahia","janeiro 2007","73.7","71.5","70.2","55.0","44.3","-","-","42.0","53.4","144.5","27.1","55.6","76.6"
"Bahia","fevereiro 2007","64.7","71.8","71.1","51.5","35.1","-","-","37.7","58.1","123.6","22.2","48.3","60.7"
"Bahia","março 2007","72.3","75.9","74.8","62.8","43.7","-","-","46.3","49.2","152.4","28.3","70.5","72.9"
"Bahia","abril 2007","69.6","74.0","73.0","51.3","34.8","-","-","42.8","77.0","131.0","26.9","63.5","62.8"
"Bahia","maio 2007","74.3","72.1","72.1","76.6","48.4","-","-","44.7","42.1","150.4","29.4","69.6","72.7"
"Bahia","junho 2007","77.5","72.6","71.9","100.5","42.1","-","-","43.9","31.3","142.1","29.8","65.1","65.0"
"Bahia","julho 2007","75.2","71.2","70.7","58.7","42.3","-","-","44.8","35.6","142.5","26.6","68.3","67.9"
"Bahia","agosto 2007","82.2","72.4","71.6","71.0","48.4","-","-","48.4","39.2","164.7","28.8","76.1","74.0"
"Bahia","setembro 2007","78.1","72.4","71.9","63.6","44.2","-","-","46.3","36.9","133.3","27.3","68.7","71.9"
"Bahia","outubro 2007","80.0","73.0","72.1","71.9","46.1","-","-","49.2","37.9","151.6","32.5","76.5","78.7"
"Bahia","novembro 2007","77.0","72.3","71.7","81.8","48.4","-","-","46.2","37.9","140.4","32.8","71.8","83.9"
"Bahia","dezembro 2007","82.0","95.0","94.3","157.8","76.0","-","-","52.5","54.5","184.3","61.3","69.8","84.1"
"Bahia","janeiro 2008","81.1","73.6","73.2","65.0","52.1","-","-","49.7","66.5","159.1","33.2","71.6","84.5"
"Bahia","fevereiro 2008","75.9","67.7","67.4","54.8","45.5","-","-","42.9","70.5","136.1","28.9","65.1","72.1"
"Bahia","março 2008","84.9","77.3","76.5","60.2","52.0","-","-","48.5","62.2","136.6","34.9","74.5","73.4"
"Bahia","abril 2008","76.7","71.2","70.0","59.0","47.9","-","-","49.5","91.8","152.9","29.6","78.6","76.7"
"Bahia","maio 2008","82.5","76.0","75.4","72.8","55.6","-","-","51.2","47.2","188.8","36.7","79.0","79.2"
"Bahia","junho 2008","82.0","68.9","67.4","94.8","48.4","-","-","49.0","40.2","177.6","36.4","74.2","75.5"
"Bahia","julho 2008","83.7","71.7","70.5","63.9","52.5","-","-","51.5","44.9","178.1","34.4","85.9","84.5"
"Bahia","agosto 2008","84.9","76.1","74.5","67.9","55.7","-","-","52.6","52.0","214.3","36.1","79.6","84.8"
"Bahia","setembro 2008","86.9","73.0","71.2","63.7","54.8","-","-","52.5","48.9","157.1","34.7","81.5","86.4"
"Bahia","outubro 2008","91.4","79.1","76.9","65.9","53.1","-","-","52.5","50.5","165.8","45.0","70.3","81.7"
"Bahia","novembro 2008","89.7","76.9","75.0","67.6","51.9","-","-","50.9","41.4","115.0","43.8","62.2","78.3"
"Bahia","dezembro 2008","89.6","101.0","98.3","144.3","74.7","-","-","57.3","67.3","134.5","72.6","73.9","83.2"
"Bahia","janeiro 2009","81.6","77.3","75.5","58.9","50.2","-","-","51.3","102.2","118.3","45.0","69.6","76.6"
"Bahia","fevereiro 2009","74.2","73.4","71.6","54.8","41.7","-","-","47.9","94.8","92.1","41.6","68.1","65.4"
"Bahia","março 2009","81.2","76.9","74.9","57.7","51.7","-","-","56.2","69.3","106.1","47.7","89.6","72.5"
"Bahia","abril 2009","78.7","81.4","79.7","54.3","44.3","-","-","50.4","88.0","150.1","45.3","71.9","68.7"
"Bahia","maio 2009","90.3","79.9","78.7","73.5","56.2","-","-","53.5","51.1","130.6","49.9","83.7","71.7"
"Bahia","junho 2009","82.2","76.6","74.9","91.8","53.3","-","-","52.4","45.0","100.4","46.5","92.7","71.2"
"Bahia","julho 2009","85.2","81.3","79.9","63.1","55.0","-","-","57.3","51.9","120.0","46.3","82.2","79.2"
"Bahia","agosto 2009","87.8","82.2","80.2","67.1","56.1","-","-","59.7","51.9","152.8","49.5","82.3","83.1"
"Bahia","setembro 2009","85.8","80.5","77.4","62.7","57.9","-","-","57.5","43.0","160.9","47.6","102.4","80.7"
"Bahia","outubro 2009","90.2","87.6","84.2","75.9","61.3","-","-","59.3","49.6","134.6","57.0","79.1","84.6"
"Bahia","novembro 2009","90.9","80.4","77.2","75.6","62.0","-","-","57.2","61.9","112.7","50.6","77.9","86.6"
"Bahia","dezembro 2009","93.4","111.9","106.5","164.1","90.4","-","-","64.2","82.7","186.1","81.9","86.2","89.2"
"Bahia","janeiro 2010","86.4","85.1","83.4","65.8","64.9","-","-","55.8","120.4","141.7","48.1","80.1","82.7"
"Bahia","fevereiro 2010","76.3","82.3","80.0","62.2","53.8","-","-","53.2","112.4","135.4","41.2","77.3","75.3"
"Bahia","março 2010","90.2","91.1","88.7","65.8","67.5","-","-","62.2","70.2","157.7","54.0","122.5","91.6"
"Bahia","abril 2010","85.9","82.9","81.3","61.5","56.7","-","-","58.0","82.7","161.4","48.1","78.8","85.9"
"Bahia","maio 2010","89.4","85.4","83.4","72.9","69.9","-","-","63.7","52.0","133.1","49.0","88.5","95.0"
"Bahia","junho 2010","86.4","83.1","80.1","99.5","58.8","-","-","58.8","41.3","163.1","48.5","84.9","84.6"
"Bahia","julho 2010","90.2","86.8","84.8","72.8","60.8","-","-","63.6","45.8","140.1","51.4","96.7","88.4"
"Bahia","agosto 2010","90.8","85.5","83.2","74.4","63.7","-","-","66.2","52.0","169.8","54.3","97.1","91.5"
"Bahia","setembro 2010","97.7","85.4","82.9","68.5","63.0","-","-","64.1","49.8","150.5","53.4","95.3","91.5"
"Bahia","outubro 2010","96.9","90.2","87.9","76.6","73.0","-","-","66.4","53.8","119.3","62.1","95.5","90.3"
"Bahia","novembro 2010","90.9","85.7","83.8","79.9","85.2","-","-","63.8","63.3","120.3","57.3","105.0","93.4"
"Bahia","dezembro 2010","95.5","113.6","110.0","171.3","119.2","-","-","73.2","92.0","163.4","93.2","111.7","95.0"
"Bahia","janeiro 2011","91.4","83.4","82.3","71.0","82.1","79.5","77.6","64.4","136.5","126.6","51.5","91.1","89.9"
"Bahia","fevereiro 2011","87.6","80.2","78.8","71.8","73.5","80.9","68.3","62.5","129.3","104.2","49.2","95.9","85.5"
"Bahia","março 2011","91.1","89.0","87.8","68.9","78.4","75.7","73.1","66.7","72.9","121.3","50.7","94.4","81.6"
"Bahia","abril 2011","90.5","91.3","89.3","69.7","69.6","75.4","63.7","64.8","95.1","81.1","58.8","88.7","80.1"
"Bahia","maio 2011","95.2","86.4","84.6","82.4","82.8","84.1","75.0","70.0","70.6","103.4","52.4","103.1","95.2"
"Bahia","junho 2011","96.7","86.2","82.9","112.2","72.3","75.5","67.0","67.0","55.4","92.6","55.3","87.2","83.5"
"Bahia","julho 2011","97.9","90.3","88.2","77.4","79.6","83.1","75.5","69.7","58.7","103.7","55.6","95.7","91.5"
"Bahia","agosto 2011","99.9","89.6","86.9","82.6","79.6","84.1","76.3","73.6","69.1","85.5","56.1","96.2","96.0"
"Bahia","setembro 2011","94.2","87.1","84.1","72.7","76.4","79.8","72.0","69.9","60.3","122.9","54.9","90.7","92.2"
"Bahia","outubro 2011","102.7","90.6","87.8","80.7","75.1","77.2","70.4","69.6","62.6","127.6","59.8","84.5","87.6"
"Bahia","novembro 2011","99.2","88.4","86.0","83.6","85.2","82.7","82.2","69.8","69.4","100.4","57.5","92.3","94.6"
"Bahia","dezembro 2011","100.4","114.9","109.4","177.7","129.1","142.6","119.5","79.8","108.2","103.3","96.5","106.6","99.2"
"Bahia","janeiro 2012","98.3","91.1","88.7","79.7","92.5","103.1","86.8","65.3","105.5","116.6","56.3","99.2","94.1"
"Bahia","fevereiro 2012","97.6","90.8","87.4","68.1","84.8","97.0","78.7","62.2","84.6","108.9","50.9","88.2","82.1"
"Bahia","março 2012","104.2","97.8","94.3","80.4","94.4","100.9","90.1","72.8","79.8","137.5","65.3","108.2","99.3"
"Bahia","abril 2012","109.9","93.7","90.7","71.9","73.4","84.2","67.8","70.6","67.3","133.9","59.1","91.9","87.5"
"Bahia","maio 2012","106.1","91.4","87.9","86.9","93.2","99.8","89.1","77.3","78.6","141.0","61.2","101.7","100.3"
"Bahia","junho 2012","108.0","93.0","88.9","121.1","84.0","87.2","81.3","74.2","73.3","147.5","58.8","120.7","87.5"
"Bahia","julho 2012","108.0","91.2","87.5","89.0","85.7","89.3","82.8","81.2","76.4","152.8","71.9","113.6","95.6"
"Bahia","agosto 2012","107.0","90.4","86.2","92.5","93.6","96.5","90.7","79.7","86.8","147.0","80.4","138.1","106.2"
"Bahia","setembro 2012","102.2","95.1","92.6","82.9","81.9","84.0","79.7","76.6","65.9","141.9","71.0","86.4","92.3"
"Bahia","outubro 2012","97.0","98.2","96.1","91.0","89.0","94.1","85.3","81.3","83.2","149.4","82.6","117.1","97.9"
"Bahia","novembro 2012","90.6","97.4","95.8","97.4","91.4","97.4","87.2","74.5","81.2","154.3","80.9","105.3","105.2"
"Bahia","dezembro 2012","92.5","122.8","122.8","207.8","129.2","131.5","125.8","78.4","103.1","150.5","117.9","128.0","92.6"
"Bahia","janeiro 2013","89.0","95.4","94.0","87.8","102.7","106.0","100.2","68.5","108.4","116.6","79.2","108.2","104.2"
"Bahia","fevereiro 2013","75.8","87.3","86.5","73.9","82.3","85.5","79.7","64.6","97.6","88.3","65.0","87.9","88.7"
"Bahia","março 2013","90.6","99.0","98.3","82.6","92.4","97.6","88.7","74.5","88.3","111.8","85.1","107.4","94.4"
"Bahia","abril 2013","94.8","88.3","87.3","79.8","88.2","92.0","85.4","86.4","85.1","112.7","73.7","102.5","99.9"
"Bahia","maio 2013","91.7","93.0","92.8","96.2","102.4","105.1","101.2","92.0","89.0","146.3","83.6","111.8","103.1"
"Bahia","junho 2013","87.6","90.9","90.4","120.3","87.3","84.3","88.7","89.3","71.5","133.3","75.1","101.5","86.7"
"Bahia","julho 2013","93.7","94.3","94.2","90.6","99.2","101.3","98.3","94.0","87.3","135.3","81.2","113.1","103.7"
"Bahia","agosto 2013","97.6","99.7","99.8","98.4","103.2","106.6","101.6","97.2","99.1","128.5","83.9","111.4","110.0"
"Bahia","setembro 2013","95.2","94.6","94.7","84.4","94.6","96.4","93.7","91.3","83.2","123.4","79.7","98.8","110.9"
"Bahia","outubro 2013","102.3","99.9","99.3","92.0","102.6","103.7","102.1","88.2","101.9","111.1","88.8","108.3","116.5"
"Bahia","novembro 2013","98.0","102.5","101.9","101.5","108.3","110.9","107.0","89.1","102.1","103.4","90.1","104.5","112.5"
"Bahia","dezembro 2013","101.9","122.4","122.1","211.5","139.6","135.7","141.3","93.3","130.7","102.5","130.6","120.0","102.9"
"Bahia","janeiro 2014","104.4","99.9","100.4","86.6","107.9","100.6","111.2","89.1","148.4","105.5","96.1","106.4","107.6"
"Bahia","fevereiro 2014","95.8","95.1","95.4","82.0","87.8","89.0","87.2","87.8","122.9","102.5","82.2","94.1","98.2"
"Bahia","março 2014","96.8","97.6","99.0","80.3","100.0","97.3","101.3","94.8","103.5","101.5","87.0","95.3","93.1"
"Bahia","abril 2014","92.3","95.2","94.7","74.4","89.1","89.4","88.9","96.3","87.0","95.3","87.6","98.7","89.7"
"Bahia","maio 2014","97.9","100.0","99.9","94.4","118.8","112.0","121.8","105.9","98.8","107.8","99.9","107.5","101.9"
"Bahia","junho 2014","92.9","94.1","93.4","112.5","88.3","90.2","87.4","99.8","79.3","90.8","90.0","82.0","83.0"
"Bahia","julho 2014","103.2","97.9","97.9","88.7","90.6","95.0","88.7","103.5","97.1","100.9","90.7","102.1","101.2"
"Bahia","agosto 2014","108.8","99.4","99.4","95.0","92.7","93.4","92.4","113.1","101.5","103.2","98.3","99.4","102.3"
"Bahia","setembro 2014","101.1","93.9","92.8","87.5","92.4","99.4","89.1","106.0","70.6","95.1","93.0","100.4","106.3"
"Bahia","outubro 2014","102.8","100.3","99.4","93.9","96.4","102.2","93.7","104.4","84.7","102.9","105.4","102.2","115.5"
"Bahia","novembro 2014","98.3","101.7","102.2","105.6","111.0","104.8","113.8","97.8","104.0","95.6","114.8","99.3","102.7"
"Bahia","dezembro 2014","105.8","125.0","125.6","199.2","125.1","126.8","124.4","101.5","102.2","98.8","155.1","112.5","98.5"
"Bahia","janeiro 2015","94.5","101.3","102.9","78.4","98.0","96.8","98.5","90.6","118.5","79.0","105.3","101.9","102.1"
"Bahia","fevereiro 2015","81.7","95.0","96.5","65.3","78.3","78.5","78.2","84.5","92.9","74.9","90.5","76.4","88.0"
"Bahia","março 2015","94.1","97.7","98.5","76.2","91.5","92.1","91.2","97.8","94.0","89.5","106.8","94.3","103.5"
"Bahia","abril 2015","89.6","96.1","97.0","69.0","79.1","78.7","79.2","94.7","71.5","75.8","94.1","79.7","88.8"
"Bahia","maio 2015","89.7","95.1","96.2","85.3","91.6","84.4","94.9","101.0","79.0","83.4","99.2","86.6","95.0"
"Bahia","junho 2015","91.1","89.3","89.4","105.1","78.3","77.0","79.0","94.2","74.4","73.6","90.2","80.7","87.1"
"Bahia","julho 2015","91.6","92.2","92.5","74.5","80.1","82.0","79.2","99.3","86.5","78.8","93.3","93.9","98.6"
"Bahia","agosto 2015","86.6","91.5","92.5","77.7","75.7","80.9","73.4","114.2","105.5","73.7","96.5","86.0","92.4"
"Bahia","setembro 2015","94.6","90.8","92.3","67.7","71.2","76.2","69.0","104.0","61.0","70.3","84.4","85.3","93.2"
"Bahia","outubro 2015","84.8","97.2","98.1","79.1","82.9","85.0","81.9","105.3","104.6","69.3","98.6","82.0","95.8"
"Bahia","novembro 2015","79.6","92.4","94.7","84.7","93.8","92.4","94.5","101.1","107.9","69.8","104.2","83.3","96.1"
"Bahia","dezembro 2015","83.0","115.4","118.6","161.3","105.3","98.6","108.3","100.5","144.1","73.8","129.9","89.8","96.7"
"Bahia","janeiro 2016","75.3","89.5","93.2","68.8","80.2","96.8","72.8","87.8","170.1","66.5","86.6","78.8","87.7"
"Bahia","fevereiro 2016","73.2","86.4","91.3","58.1","72.6","72.3","72.8","84.6","89.8","62.8","73.2","75.4","83.6"
"Bahia","março 2016","79.3","89.6","94.3","62.7","78.1","78.7","77.8","93.2","78.9","71.0","89.1","84.6","83.8"
"Bahia","abril 2016","75.1","84.6","89.3","59.5","66.9","69.5","65.7","85.8","68.3","60.3","85.4","75.9","81.7"
"Bahia","maio 2016","72.1","82.9","87.4","66.9","72.6","74.2","71.9","89.9","68.9","63.4","83.0","75.2","83.6"
"Bahia","junho 2016","72.2","82.2","86.5","91.5","63.6","68.9","61.2","86.1","62.5","61.9","80.1","73.3","79.0"
"Bahia","julho 2016","70.8","86.0","90.6","67.2","62.2","64.7","61.1","93.0","94.6","62.0","80.8","82.5","82.1"
"Bahia","agosto 2016","73.4","85.0","89.8","68.5","62.8","63.9","62.3","100.1","97.1","66.6","78.0","84.9","84.7"
"Bahia","setembro 2016","76.7","86.0","91.4","60.8","57.1","59.2","56.2","91.6","49.9","60.4","74.4","73.5","74.6"
"Bahia","outubro 2016","73.9","87.7","92.6","66.2","63.6","65.2","62.9","88.4","107.6","63.1","85.5","79.1","82.2"
"Bahia","novembro 2016","74.1","88.6","94.6","73.6","77.1","75.4","77.9","87.1","94.0","68.4","103.4","81.9","88.6"
"Bahia","dezembro 2016","80.2","107.5","114.8","144.6","84.3","85.4","83.7","96.5","119.4","71.4","126.4","85.9","97.4"
"Bahia","janeiro 2017","78.4","76.8","78.8","70.3","88.6","77.9","91.0","81.3","161.3","65.5","86.6","75.2","92.8"
"Bahia","fevereiro 2017","63.8","75.7","77.6","63.1","72.3","64.5","74.7","74.1","131.5","52.9","74.2","63.2","73.9"
"Bahia","março 2017","72.1","77.9","80.9","64.6","93.8","82.2","97.8","85.3","117.2","65.9","87.5","86.1","91.6"
"Bahia","abril 2017","70.2","75.1","79.4","61.1","78.3","72.4","79.6","86.5","92.2","61.5","84.7","71.0","74.1"
"Bahia","maio 2017","70.2","72.2","76.5","73.6","92.8","81.6","96.5","88.2","95.4","72.6","88.7","85.4","87.1"
"Bahia","junho 2017","75.7","72.1","75.0","99.7","82.4","78.1","83.5","82.2","90.6","65.7","86.6","76.3","82.7"
"Bahia","julho 2017","72.4","73.4","76.8","73.1","86.2","79.9","88.5","84.2","115.9","74.6","89.1","84.5","88.1"
"Bahia","agosto 2017","75.1","73.7","77.0","71.8","88.4","82.3","90.5","90.1","116.6","73.5","89.4","94.5","94.2"
"Bahia","setembro 2017","69.7","74.3","79.3","69.1","84.0","74.7","87.8","86.9","71.1","69.2","89.9","88.3","87.6"
"Bahia","outubro 2017","72.6","70.5","75.2","67.6","84.9","78.3","87.2","89.8","116.5","66.4","97.2","85.2","94.4"
"Bahia","novembro 2017","69.4","86.3","94.5","76.2","107.1","95.5","111.9","91.0","115.7","74.5","120.3","86.8","102.8"
"Bahia","dezembro 2017","71.7","103.5","113.3","140.6","117.5","109.7","120.1","98.9","140.1","87.7","141.3","88.6","95.8"
"Bahia","janeiro 2018","69.8","71.8","77.9","69.0","91.7","75.0","99.4","89.1","175.1","76.0","99.9","94.1","100.3"
"Bahia","fevereiro 2018","57.6","71.3","76.7","59.6","74.7","62.8","80.1","83.3","147.7","66.1","80.7","75.5","79.1"
"Bahia","março 2018","62.2","78.3","83.8","66.6","92.1","75.8","99.4","94.4","127.3","66.0","101.1","95.0","90.8"
"Bahia","abril 2018","63.8","71.5","76.6","58.5","80.6","71.5","84.5","93.3","108.4","88.6","92.1","86.7","85.5"
"Bahia","maio 2018","57.5","73.7","78.9","67.1","93.2","77.3","100.8","94.8","96.3","68.0","97.5","82.2","85.6"
"Bahia","junho 2018","59.4","73.5","78.8","90.0","93.5","83.3","98.0","97.1","92.7","76.1","102.9","86.8","81.6"
"Bahia","julho 2018","61.3","72.1","77.4","61.1","84.5","78.3","86.8","99.4","90.9","78.7","94.8","89.4","86.1"
"Bahia","agosto 2018","63.1","77.8","81.4","67.2","86.7","79.6","89.3","105.2","78.8","66.2","101.9","94.0","94.7"
"Bahia","setembro 2018","61.2","77.8","81.5","61.5","79.8","71.1","83.6","94.9","62.6","58.8","91.6","81.6","85.1"
"Bahia","outubro 2018","62.2","74.8","79.9","63.9","85.7","79.8","87.9","102.2","49.6","68.9","99.8","89.5","96.8"
"Bahia","novembro 2018","63.5","90.8","97.9","73.2","112.4","97.8","118.9","104.1","56.1","58.9","153.8","89.8","90.1"
"Bahia","dezembro 2018","66.3","107.9","117.1","131.2","109.5","102.6","111.8","111.7","71.7","59.4","143.8","87.4","82.6"
"Bahia","janeiro 2019","61.1","75.5","81.2","69.7","92.9","80.9","98.1","97.6","93.2","55.8","102.0","85.6","90.9"
"Bahia","fevereiro 2019","57.8","73.6","78.1","67.0","86.1","74.8","90.9","94.6","73.0","52.8","93.4","81.2","84.1"
"Bahia","março 2019","59.5","78.3","82.7","59.4","87.0","75.3","92.1","97.1","53.8","48.5","93.8","79.3","81.8"
"Bahia","abril 2019","63.3","74.0","78.2","63.8","84.5","76.1","87.7","95.2","48.8","55.8","100.0","83.8","84.7"
"Bahia","maio 2019","66.4","75.8","79.9","69.7","100.1","88.2","105.1","105.8","48.1","54.5","100.9","85.8","86.5"
"Bahia","junho 2019","64.6","72.7","76.1","91.9","79.9","71.0","83.5","90.8","38.3","52.7","96.7","80.3","73.4"
"Bahia","julho 2019","72.3","73.4","76.9","68.0","83.0","78.4","84.3","99.5","47.2","57.6","99.0","103.5","87.3"
"Bahia","agosto 2019","70.9","76.4","80.0","67.1","84.9","76.7","88.1","101.7","45.6","60.4","102.3","94.9","91.9"
"Bahia","setembro 2019","67.0","75.2","79.4","63.2","84.9","72.5","90.3","98.1","43.5","67.3","95.1","88.0","90.4"
"Bahia","outubro 2019","70.7","73.8","76.8","69.9","89.0","76.4","94.5","101.6","45.5","53.7","107.6","98.7","99.0"
"Bahia","novembro 2019","67.9","91.5","99.0","77.0","141.7","108.2","157.7","103.3","44.0","71.3","137.3","93.1","100.7"
"Bahia","dezembro 2019","71.0","106.0","115.5","142.4","165.1","123.4","185.2","107.9","50.8","69.3","154.3","94.4","93.8"
"Bahia","janeiro 2020","65.7","72.1","76.6","69.4","102.5","82.8","111.7","95.3","83.6","49.3","105.1","87.4","91.0"
"Bahia","fevereiro 2020","62.4","73.1","77.2","67.8","85.4","70.3","92.3","91.1","57.9","50.8","91.9","74.3","85.1"
"Bahia","março 2020","56.1","78.9","83.4","35.6","70.9","59.1","76.2","104.2","31.9","39.9","73.3","53.3","78.4"
"Bahia","abril 2020","43.4","74.6","79.5","16.4","48.6","42.3","51.6","84.8","9.1","17.2","38.1","35.3","64.4"
"Bahia","maio 2020","52.3","77.2","84.7","13.2","77.0","70.3","79.5","91.7","12.9","30.3","54.3","39.8","82.0"
"Bahia","junho 2020","52.3","73.8","80.4","18.9","99.3","93.6","100.5","96.3","18.0","42.0","68.9","55.9","104.3"
"Bahia","julho 2020","60.6","76.2","83.4","33.0","124.7","120.8","124.1","108.0","21.1","39.8","79.8","67.6","118.5"
"Bahia","agosto 2020","65.5","74.6","81.4","57.2","150.5","132.4","157.8","104.7","25.4","49.8","113.1","68.8","119.6"
"Bahia","setembro 2020","70.9","71.7","78.7","58.5","128.6","120.1","128.5","106.5","25.9","50.2","112.2","75.7","117.7"
"Bahia","outubro 2020","77.2","74.3","81.2","70.0","137.4","126.9","140.8","114.7","25.5","45.1","124.6","80.2","109.7"
"Bahia","novembro 2020","70.0","76.6","84.9","78.0","165.5","131.1","181.9","113.0","24.6","54.4","157.8","80.5","96.0"
"Bahia","dezembro 2020","72.1","90.5","100.0","128.9","159.0","136.5","168.9","118.5","33.1","65.5","151.6","93.4","99.5"
"Bahia","janeiro 2021","65.8","67.4","73.7","55.7","110.9","92.9","119.0","107.7","32.8","41.5","104.0","74.1","91.0"
"Bahia","fevereiro 2021","58.0","65.2","71.5","47.1","107.8","82.5","120.3","101.0","32.5","41.6","84.5","75.4","82.9"
"Bahia","março 2021","56.9","70.7","77.4","23.6","92.6","73.1","101.7","114.4","18.7","31.0","81.3","77.5","82.8"
"Bahia","abril 2021","58.4","67.7","72.5","49.6","114.9","85.8","129.2","108.3","20.1","41.4","112.5","86.9","78.5"
"Bahia","maio 2021","62.7","69.9","74.8","67.5","137.9","106.3","153.3","117.1","22.1","50.5","107.1","96.5","84.9"
"Bahia","junho 2021","62.3","67.0","71.0","72.5","112.6","102.5","116.3","115.1","20.3","46.6","103.4","96.6","82.5"
"Bahia","julho 2021","66.5","70.0","76.2","70.9","100.3","97.4","100.3","120.6","23.1","52.9","120.2","104.9","90.6"
"Bahia","agosto 2021","64.7","67.0","72.8","70.9","97.5","92.1","99.1","115.9","24.4","55.4","105.9","106.5","89.2"
"Minas Gerais","janeiro 2000","84.3","51.8","49.6","49.5","16.5","-","-","-","-","-","-","30.3","-"
"Minas Gerais","fevereiro 2000","76.9","54.0","51.2","54.8","16.2","-","-","-","-","-","-","35.6","-"
"Minas Gerais","março 2000","79.9","56.4","55.4","60.3","16.6","-","-","-","-","-","-","35.4","-"
"Minas Gerais","abril 2000","81.7","58.2","58.5","65.7","15.5","-","-","-","-","-","-","32.4","-"
"Minas Gerais","maio 2000","78.8","55.6","55.3","76.9","18.9","-","-","-","-","-","-","38.7","-"
"Minas Gerais","junho 2000","80.6","56.1","56.1","73.3","16.5","-","-","-","-","-","-","36.8","-"
